,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
297,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2
298,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2
299,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2
300,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2
301,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2
302,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1
303,1,1,1,1,1,2,1,2,0,1,1,1,1,2,1
304,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2
305,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2
306,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
307,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1
308,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1
309,1,1,1,1,1,2,1,1,2,1,1,2,0,2,1
310,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1
311,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1
312,1,1,1,1,1,2,1,2,1,0,2,2,1,1,1
313,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2
314,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1
315,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1
316,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1
317,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1
318,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
319,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2
320,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1
321,1,1,1,1,1,1,2,2,1,1,1,1,2,2,0
322,1,1,0,1,1,1,1,2,1,1,1,0,2,1,2
323,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1
324,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1
325,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2
326,1,1,1,1,1,2,1,2,1,1,1,2,2,1,0
327,1,1,1,1,1,2,1,1,1,2,0,1,1,1,1
328,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1
329,1,1,1,1,1,2,1,0,2,1,1,1,2,2,1
330,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1
331,1,1,1,1,1,2,1,0,1,1,1,1,1,2,2
332,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1
